layer,research_code,parent_research_code,name_ar,name_fr,latitude,longitude,source_locator,existing_entity_id
imada,43601656,4360,البسباس,El Besbes,34.438355,9.821447,ADM4 row / research sector code 43601656; dated ADM3 parent 4360,
imada,43601655,4360,الخوي,El Khaoui,34.553957,9.930351,ADM4 row / research sector code 43601655; dated ADM3 parent 4360,
imada,43601654,4360,الدوارة,Eddaouara,34.548477,9.733374,ADM4 row / research sector code 43601654; dated ADM3 parent 4360,
imada,43601653,4360,الخبنة,Khobna,34.34118,9.633573,ADM4 row / research sector code 43601653; dated ADM3 parent 4360,
imada,43601652,4360,الغريس الشرقية,El Gheris Est,34.612097,9.815838,ADM4 row / research sector code 43601652; dated ADM3 parent 4360,
imada,43561625,4356,المنصورة الغربية,El Mansoura Ouest,34.745471,9.045172,ADM4 row / research sector code 43561625; dated ADM3 parent 4356,
imada,43531596,4353,لزيرق,Lazirek,35.287881,9.338482,ADM4 row / research sector code 43531596; dated ADM3 parent 4353,
imada,43561624,4356,المنصورة الشرقية,El Mansoura Est,34.736161,9.11782,ADM4 row / research sector code 43561624; dated ADM3 parent 4356,
imada,43531595,4353,جلمة الغريبة,Jilma Ouest,35.28484,9.39995,ADM4 row / research sector code 43531595; dated ADM3 parent 4353,
imada,43531594,4353,جملة الشرقية,Jilma Est,35.328026,9.453938,ADM4 row / research sector code 43531594; dated ADM3 parent 4353,
imada,43561623,4356,اولاد ابراهيم,Ouled Brahim,34.780304,8.977509,ADM4 row / research sector code 43561623; dated ADM3 parent 4356,
imada,43561622,4356,الواعرة,El Ouaara,34.808415,9.017812,ADM4 row / research sector code 43561622; dated ADM3 parent 4356,
imada,43561621,4356,الساهلة,Essahla,34.826058,9.093866,ADM4 row / research sector code 43561621; dated ADM3 parent 4356,
imada,43591643,4359,غريويس,Ghiriouis,34.949429,9.649416,ADM4 row / research sector code 43591643; dated ADM3 parent 4359,
imada,43591642,4359,سوق الجديد,Souk Jedid,34.899627,9.587008,ADM4 row / research sector code 43591642; dated ADM3 parent 4359,
imada,43531601,4353,باطن الغزال الشمالية,Baten Elghézel Nord,35.448337,9.345861,ADM4 row / research sector code 43531601; dated ADM3 parent 4353,
imada,43531600,4353,باطن الغزال الجنوبية,Baten Elghézel Sud,35.373862,9.395389,ADM4 row / research sector code 43531600; dated ADM3 parent 4353,
imada,43601649,4360,المزونة,Mezzouna,34.545967,9.859548,ADM4 row / research sector code 43601649; dated ADM3 parent 4360,
imada,43561620,4356,الرابطة,Errabta,34.757864,9.23357,ADM4 row / research sector code 43561620; dated ADM3 parent 4356,
imada,43561619,4356,سيدي علي بن عون,Sidi Ali Ben Aoun,34.886083,9.128901,ADM4 row / research sector code 43561619; dated ADM3 parent 4356,
imada,43551612,4355,القصر,El Ksar,34.964797,9.340126,ADM4 row / research sector code 43551612; dated ADM3 parent 4355,
imada,43591648,4359,بئر بدر,Bir Badr,34.865238,9.517012,ADM4 row / research sector code 43591648; dated ADM3 parent 4359,
imada,43591647,4359,الزفزاف,Ezzafzaf,34.79805,9.485363,ADM4 row / research sector code 43591647; dated ADM3 parent 4359,
imada,43591646,4359,الرميلية,Erremelia,34.808723,9.585091,ADM4 row / research sector code 43591646; dated ADM3 parent 4359,
imada,43591645,4359,سقدال,Sekdal,34.928673,9.606957,ADM4 row / research sector code 43591645; dated ADM3 parent 4359,
imada,43591644,4359,القصيرة,Ksaîra,34.968688,9.585856,ADM4 row / research sector code 43591644; dated ADM3 parent 4359,
imada,43531599,4353,غدير الزيتون,Ghedir Ezzitoun,35.277465,9.49369,ADM4 row / research sector code 43531599; dated ADM3 parent 4353,
imada,43531598,4353,زغمار,Zoghmar,35.400897,9.3184,ADM4 row / research sector code 43531598; dated ADM3 parent 4353,
imada,43531597,4353,سلتة,Selta,35.363257,9.274664,ADM4 row / research sector code 43531597; dated ADM3 parent 4353,
imada,1357238,1357,18جانفي,18 janvier,36.746052,10.300471,ADM4 row / research sector code 1357238; dated ADM3 parent 1357,
